0	[proc,quicksort]
1	[proc,inv_total_available]
3	[proc,bslay_create_names]
4	[proc,worldmap_arrow_update]
11	[clientscript,magic_deltooltip]
12	[proc,day]
15	[clientscript,quickchat_tutorial_init]
17	[clientscript,magic_entertargetmode]
18	[clientscript,magic_leavetargetmode]
19	[proc,magic_runecount]
20	[proc,magic_tostring]
26	[clientscript,magictraining_shop]
27	[clientscript,magictraining_shop_points]
29	[clientscript,closebutton_click]
30	[clientscript,scrollbar_vertical]
31	[proc,scrollbar_vertical]
34	[clientscript,scrollbar_vertical_jump]
35	[clientscript,scrollbar_vertical_drag]
36	[clientscript,scrollbar_vertical_wheel]
37	[proc,scrollbar_vertical_doscroll]
40	[clientscript,deltooltip]
41	[proc,deltooltip_action]
42	[proc,bool_to_int]
43	[clientscript,trail_reward_generation]
44	[clientscript,graphic_swapper]
45	[clientscript,text_colour_swapper]
46	[proc,tostring_spacer]
49	[clientscript,prayer_varupdate]
50	[clientscript,topstat_prayer_button_update]
51	[proc,toplevel_minimenu_setup]
52	[clientscript,prayer_statupdate]
53	[proc,push_notifications_init]
54	[clientscript,wilderness_level_update]
60	[clientscript,dream_bank_init]
61	[clientscript,dream_chest_init]
62	[proc,quicksort_enum]
63	[clientscript,scrollbar_vertical_graphics]
64	[clientscript,vm_kudos_set]
65	[clientscript,set_spinner]
66	[clientscript,spinner]
67	[clientscript,model_swapper]
68	[clientscript,text_swapper]
69	[clientscript,comp_sethide]
70	[clientscript,tzhaar_fightpit_foesremaining]
72	[proc,scrollbar_resize]
74	[proc,add_to_inputstring]
80	[clientscript,trail_puzzle_generation]
81	[clientscript,chatdefault_updatechatbox]
83	[proc,minimenu_get_root]
84	[proc,rebuildchatbox]
86	[clientscript,chat_op]
87	[clientscript,macro_pinball_score]
101	[clientscript,meslayer_close]
102	[proc,meslayer_mode1]
103	[clientscript,meslayer_mode2]
104	[clientscript,meslayer_mode3]
105	[clientscript,meslayer_mode4]
106	[clientscript,trail_puzzle_click]
107	[proc,meslayer_mode6]
108	[clientscript,meslayer_mode7]
109	[clientscript,meslayer_mode8]
110	[clientscript,meslayer_mode9]
111	[proc,meslayer_mode10]
112	[clientscript,meslayer_onkey]
113	[clientscript,gravedigger_spin]
114	[clientscript,cutscene_subtitle]
120	[clientscript,pattern_spin]
123	[clientscript,friend_init]
124	[clientscript,friend_transmit]
125	[proc,friend_update]
126	[clientscript,friend_op]
127	[clientscript,ignore_init]
128	[clientscript,ignore_transmit]
129	[proc,ignore_update]
130	[clientscript,ignore_op]
131	[clientscript,snapshot_open]
133	[proc,inzone]
135	[clientscript,snapshot_report]
138	[clientscript,meslayer_ondialogabort]
139	[clientscript,subchanged_init]
140	[clientscript,subchanged]
142	[clientscript,trade_confirm_init]
143	[clientscript,interface_flash_slot]
144	[clientscript,interface_flash_fade]
149	[clientscript,interface_inv_init]
150	[clientscript,interface_inv_init_big]
151	[clientscript,interface_inv_update_big]
152	[proc,cc_add_colour_text]
153	[proc,interface_inv_update_big]
154	[proc,interface_inv_draw_slot_big]
155	[clientscript,interface_inv_dragcomplete_swap_big]
156	[clientscript,interface_inv_dragcomplete_shuffle_big]
157	[proc,scrollbar_ondrag_doscroll]
158	[clientscript,interface_invother_init]
159	[clientscript,interface_invother_update_big]
160	[proc,interface_invother_update_big]
161	[proc,interface_invother_draw_slot_big]
162	[clientscript,interface_inv_drag_slot]
167	[clientscript,cws_mouseover]
168	[clientscript,pattern_cards_select]
169	[clientscript,kr_mouseleave_colour]
170	[clientscript,kr_tumbler_height]
171	[clientscript,kr_display_riddle]
174	[proc,quickchat_open_setup]
195	[clientscript,friends_chat_onload]
197	[clientscript,friendschat_setrank]
202	[clientscript,friendschat_list_op]
203	[clientscript,friends_chat_onclantransmit]
204	[clientscript,friends_chat_minimenu_timer]
208	[proc,pvpwild_world_check]
210	[clientscript,gwd2_update_window]
218	[clientscript,snapshot_name_update]
222	[clientscript,snapshot_ignore_yes]
223	[clientscript,snapshot_ignore_no]
231	[proc,snapshot_hide_help]
233	[clientscript,snapshot_help_close]
235	[clientscript,snapshot_confirm_name]
239	[clientscript,snapshot_selected_highlight]
240	[proc,snapshot_selected_highlight]
241	[proc,mtx_pet_preview]
244	[clientscript,snapshot_main_exit_v1]
246	[proc,runepass_get_state]
252	[clientscript,fishcomp_side_load]
253	[proc,fishcomp_side_load]
254	[clientscript,fishcomp_overlay_load]
256	[clientscript,fishcomp_add_result]
259	[proc,obj_gettotal]
260	[clientscript,fishcomp_refresh]
261	[proc,fishcomp_refresh]
280	[clientscript,fishcomp_rewards_shop_init]
281	[clientscript,fishcomp_rewards_shop_refresh]
286	[clientscript,worldmap_key_toggle]
288	[clientscript,worldmap_flashelementcategory]
